X,Y,Z,LABEL 0 OR 1
-0.058,5.913,8.659,0
-0.058,5.913,8.659,0
-0.058,5.913,9.208,1
0.019,5.442,9.757,0
0.098,5.207,9.444,0
-0.137,5.207,9.13,0
-0.294,5.285,8.659,0
-0.294,5.285,8.659,1
-0.921,5.207,8.11,0
-0.921,5.207,8.11,0
-1,5.285,8.031,0
-0.764,5.207,8.581,0
-0.764,5.207,8.581,0
-0.764,5.207,8.738,0
-0.529,5.129,8.659,0
-0.451,5.207,8.424,0
-0.451,5.285,8.031,0
-0.451,5.207,7.404,0
-0.451,5.05,6.933,0
-0.686,4.972,6.541,0
-0.764,4.893,6.227,0
-0.764,4.736,6.227,0
-0.764,4.736,6.305,0
-0.686,4.972,6.698,0
-0.686,5.207,7.247,0
-0.686,5.364,7.561,0
-0.451,5.442,7.718,0
-0.215,5.599,7.718,0
-0.294,5.992,7.796,0
-0.451,6.227,7.953,0
-0.529,5.913,8.11,0
-0.686,5.599,8.502,0
-0.608,5.442,8.738,0
-0.294,5.207,8.738,0
-0.137,5.442,8.581,0
-0.451,5.678,8.424,0
-0.608,5.678,8.267,0
-0.608,5.364,8.424,0
-0.529,5.129,8.659,0
-0.529,5.129,8.816,0
-0.764,5.442,8.816,0
-1.078,5.521,8.738,0
-0.921,5.442,8.502,0
-0.608,5.364,8.502,0
-0.294,5.364,8.345,0
-0.294,5.599,8.031,0
-0.451,5.678,7.953,0
-0.843,5.835,7.953,0
-1.078,5.913,7.796,0
-0.921,5.835,8.031,0
-0.608,5.521,8.11,0
-0.372,5.364,8.188,0
-0.294,5.364,8.267,0
-0.451,5.364,8.188,0
-0.608,5.678,7.718,0
-0.843,5.835,7.247,0
-0.764,5.756,6.776,0
-0.608,5.442,6.384,0
-0.764,5.364,6.541,0
-0.921,5.442,6.933,0
-1.078,5.442,7.482,0
-1.078,5.599,8.11,0
-1.157,5.599,8.659,0
-1.157,5.521,8.894,0
-0.921,5.364,9.13,0
-0.764,5.207,9.522,0
-0.686,5.207,9.836,0
-0.686,5.364,9.914,0
-0.608,5.521,9.757,0
-0.529,5.599,9.13,0
-0.372,5.599,8.424,0
-0.372,5.678,7.875,0
-0.372,5.756,7.404,0
-0.451,5.835,7.09,0
-0.372,6.07,7.012,0
-0.372,6.227,7.247,0
-0.529,6.227,7.404,0
-0.764,6.07,7.718,0
-0.764,6.07,7.718,0
-0.921,5.756,8.031,0
-0.843,5.442,8.11,0
-0.843,5.364,8.031,0
-1,5.442,7.875,0
-0.686,5.364,7.875,0
-0.686,5.364,7.875,0
-0.764,5.285,7.561,0
-1.078,5.129,7.168,0
-1,5.129,7.012,0
-1.157,5.207,6.933,0
-1.078,5.285,6.698,0
-0.608,5.364,6.619,0
-0.294,5.521,6.855,0
-0.294,5.913,7.168,0
-0.372,6.07,7.404,0
-0.529,5.992,7.561,0
-0.529,5.756,7.639,0
-0.372,5.599,7.639,0
-0.294,5.756,7.718,0
-0.058,5.913,7.639,0
-0.058,6.07,7.875,0
-0.215,6.305,8.031,0
-0.451,6.305,8.11,0
-0.451,5.992,8.267,0
-0.294,5.756,8.11,0
-0.137,5.599,7.718,0
-0.058,5.521,7.482,0
-0.137,5.599,7.09,0
0.019,5.599,6.698,0
0.176,5.285,6.384,0
0.098,5.207,6.07,0
0.098,5.364,5.835,0
0.176,5.442,5.756,0
0.098,5.599,5.678,0
0.098,5.521,5.678,0
0.019,5.442,5.442,0
0.098,5.521,5.285,0
0.333,5.835,5.285,0
0.568,5.913,5.129,0
0.176,5.756,4.815,1
-0.137,5.521,4.344,0
-0.294,5.364,4.422,1
-1.078,5.364,5.835,1
-1.549,5.835,4.893,1
-1.314,5.678,3.638,0
-0.764,5.678,3.638,1
-0.451,6.07,4.266,1
-0.058,6.227,5.05,1
0.49,5.992,6.305,1
0.568,5.599,7.718,1
0.333,5.442,8.973,1
1.274,5.599,9.208,1
1.51,5.756,10.15,1
0.49,5.678,10.62,1
-0.215,5.05,10.777,1
-0.529,4.422,10.856,0
-0.529,4.03,11.013,0
-0.686,4.03,10.699,0
-1.235,3.873,10.464,0
-1.392,3.716,10.15,1
-0.608,3.873,9.836,0
0.019,4.03,9.914,0
0.176,3.952,9.914,0
0.098,3.795,9.993,1
-0.137,3.638,10.777,1
0.098,3.716,13.053,0
0.098,3.716,13.053,1
0.882,4.109,13.759,0
0.882,4.109,13.759,0
1.117,3.873,14.229,0
0.804,3.795,13.759,1
0.254,3.952,12.66,1
-0.215,4.109,11.405,1
-0.764,4.422,10.699,1
-0.843,4.736,9.836,0
-0.843,4.736,9.836,1
-1.078,4.422,8.738,1
-0.529,3.716,8.424,0
-0.058,3.246,8.424,0
0.647,3.01,8.424,0
0.647,3.01,8.424,0
1.039,2.932,8.581,0
1.039,2.932,8.581,0
0.961,3.089,8.973,0
0.804,3.324,9.13,0
0.804,3.795,9.051,0
0.647,3.873,9.051,1
1.039,4.187,8.345,1
-0.451,4.03,9.601,1
0.411,4.422,10.307,1
1.039,4.658,9.522,1
1.588,4.658,8.345,0
1.824,4.579,7.718,0
2.059,4.187,7.796,1
1.196,4.03,8.188,1
0.254,4.187,9.365,1
-0.451,4.422,9.993,0
-0.294,5.05,9.993,0
-0.372,5.05,9.757,0
-0.137,4.893,9.522,1
0.568,4.815,8.345,1
1.117,4.501,7.404,0
1.431,4.344,7.168,0
1.353,4.266,6.541,0
1.196,4.187,6.305,1
0.882,4.109,7.09,0
0.568,3.952,7.561,0
0.411,3.873,7.875,0
0.49,3.795,8.345,0
0.725,3.873,8.894,0
0.961,3.873,9.208,0
1.039,4.266,8.973,1
1.117,4.658,8.345,1
1.353,4.972,7.482,0
1.274,5.129,7.404,0
1.274,4.893,7.561,0
1.274,5.207,7.482,1
0.725,5.207,8.11,1
0.725,5.129,6.619,1
0.804,4.266,7.875,1
1.745,3.403,8.738,1
2.53,3.559,10.228,1
1.745,4.03,10.699,1
0.568,4.344,9.914,1
0.098,4.658,9.287,0
0.411,4.815,9.444,0
0.961,4.658,9.522,0
1.274,4.501,9.444,0
1.039,4.422,9.601,0
0.725,4.422,9.601,0
0.568,4.266,9.993,1
0.098,4.266,10.699,0
-0.058,4.03,10.62,1
0.176,3.559,11.091,0
0.254,3.638,11.483,0
0.176,3.795,11.091,0
-0.058,3.873,10.699,0
-0.137,3.795,10.385,0
-0.294,3.873,10.15,0
0.098,3.873,9.914,0
0.176,4.109,9.444,0
0.254,4.266,8.894,0
0.333,4.266,8.11,0
0.49,3.952,7.718,0
0.49,3.638,7.482,0
0.333,3.795,7.325,0
0.176,3.873,6.933,1
0.176,4.03,6.07,0
0.176,4.03,6.07,1
0.647,3.952,3.559,1
-0.451,3.795,3.716,1
-1.863,3.089,9.601,1
-1.784,1.833,16.819,1
-0.372,2.304,12.425,0
-0.372,2.304,12.425,1
-0.294,2.932,9.601,1
-0.215,3.089,8.031,0
-0.215,2.932,7.875,0
-0.137,3.01,8.659,0
-0.058,3.246,9.051,0
-0.215,3.559,9.287,0
-0.451,3.795,8.894,1
-0.686,3.873,8.031,0
-0.921,3.716,7.561,0
-1.157,3.324,7.561,0
-1.314,2.932,7.639,0
-1.471,2.696,7.796,0
-1.784,2.461,8.031,0
-2.098,2.226,8.424,1
-2.255,1.912,9.287,1
-2.412,1.833,10.15,1
-2.726,1.833,11.719,1
-2.49,2.147,12.347,1
-1.706,2.618,11.719,1
-1.157,3.01,10.464,1
-0.764,3.403,9.679,1
-0.529,3.716,9.13,0
-0.529,4.187,8.894,0
-0.686,3.952,8.502,1
-1.235,3.716,8.11,1
-1.706,3.403,8.345,0
-2.098,3.167,8.502,0
-2.334,3.089,8.581,0
-2.412,3.167,8.894,0
-2.412,3.167,9.365,0
-2.255,3.167,9.836,0
-2.02,3.246,10.071,0
-1.863,3.324,10.542,0
-1.627,3.324,10.856,0
-1.706,3.403,10.777,0
-1.941,3.481,10.464,0
-2.177,3.481,9.993,0
-2.412,3.324,9.522,0
-2.726,3.167,9.208,0
-2.883,3.167,8.894,0
-3.118,3.167,8.659,0
-3.118,3.324,8.581,0
-3.275,3.324,8.267,0
-3.51,3.167,8.188,0
-3.824,3.089,8.11,0
-4.217,2.853,7.953,0
-4.452,2.696,7.875,0
-4.53,2.618,8.11,0
-4.452,2.618,8.267,0
-4.452,2.696,8.738,0
-4.53,2.618,8.816,0
-4.373,2.54,8.738,0
-4.138,2.54,8.345,0
-3.824,2.618,7.875,1
-3.275,2.775,7.325,1
-2.726,2.853,6.933,0
-2.412,3.089,6.855,0
-2.098,3.167,7.09,0
-2.02,3.246,7.482,0
-2.098,3.246,7.953,0
-1.941,3.324,8.424,0
-1.941,3.324,8.659,0
-1.784,3.324,8.581,0
-1.706,3.481,8.659,0
-1.706,3.481,8.659,0
-1.706,3.716,8.738,0
-1.863,3.638,8.816,0
-1.863,3.638,8.816,0
-2.098,3.559,8.894,0
-2.177,3.559,8.973,0
-2.098,3.638,8.973,0
-1.863,3.795,9.051,0
-1.549,3.952,8.973,0
-1.314,4.266,8.738,0
-1.078,4.658,8.581,0
-0.921,4.893,8.424,0
-0.843,5.05,8.267,0
-0.843,5.05,8.188,0
-1,5.05,8.267,0
-1.078,4.893,8.581,0
-1.235,4.893,9.051,0
-1.314,4.815,9.208,0
-1.392,4.815,9.13,0
-1.471,4.736,9.051,0
-1.549,4.658,8.816,0
-1.549,4.658,8.581,0
-1.549,4.736,8.267,0
-1.392,4.815,8.031,0
-1.157,4.972,7.796,0
-0.921,5.05,7.718,0
-0.764,5.129,7.718,0
-0.529,5.129,7.953,0
-0.215,5.207,8.11,0
-0.058,5.207,8.345,0
-0.058,5.207,8.345,0
-0.137,5.05,8.424,0
-0.058,4.972,8.424,0
0.098,4.972,8.502,0
0.49,5.05,8.424,0
0.882,5.285,8.502,0
1.039,5.678,8.345,0
1.274,6.07,8.11,0
1.117,6.227,7.718,0
0.882,6.148,7.247,0
0.568,5.992,7.012,0
0.176,5.599,7.168,1
-0.215,5.129,7.325,0
-0.608,4.815,7.404,0
-0.764,4.579,7.561,0
-0.843,4.422,7.482,0
-1,4.579,7.325,0
-1.235,4.736,7.561,0
-1.627,4.658,8.031,0
-1.784,4.422,8.581,0
-1.784,4.187,8.973,0
-1.863,3.952,9.13,0
-2.02,3.638,9.287,0
-2.255,3.324,9.522,1
-2.647,2.775,9.679,1
-3.118,2.147,9.993,1
-3.353,1.755,10.385,0
-3.353,1.52,10.699,0
-3.197,1.52,10.777,1
-2.569,1.676,10.385,1
-1.706,1.755,9.522,1
-0.843,1.833,8.424,1
-0.137,1.755,7.953,1
0.411,1.52,8.581,1
0.568,1.049,9.993,1
0.411,0.657,11.64,0
0.254,0.5,12.268,0
0.254,0.5,12.268,1
0.098,0.5,11.091,1
-0.137,0.421,10.385,0
-0.137,0.421,10.385,0
-0.215,0.421,10.071,1
0.098,-0.049,10.856,1
0.411,-0.127,11.876,1
0.804,-0.049,12.817,0
1.117,0.264,13.131,0
1.196,0.657,12.66,0
1.196,0.97,12.033,1
1.274,1.284,11.091,0
1.274,1.284,11.091,1
1.431,1.598,10.071,1
1.824,2.461,8.188,1
1.745,3.01,7.639,0
1.745,3.01,7.639,1
1.588,3.559,7.168,0
