X,Y,Z,Target 
-1.38,0.892,9.524,0
-1.552,0.854,9.715,0
-1.456,0.892,9.868,0
-1.456,0.912,9.907,0
-1.629,0.988,9.83,0
-1.59,0.95,9.715,0
-1.495,0.931,9.409,0
-1.552,0.95,9.217,0
-1.552,0.892,8.949,0
-1.418,0.873,8.853,0
-1.437,0.854,8.508,0
-1.437,0.892,8.489,0
-1.514,1.103,8.642,0
-1.418,1.161,8.738,0
-1.418,1.276,8.911,0
-1.495,1.544,9.447,0
-1.533,1.754,9.907,0
-1.514,1.946,10.29,0
-1.456,2.233,10.883,0
-1.456,2.54,11.458,0
-1.207,2.597,11.592,0
-1.054,2.712,11.477,0
-1.131,2.693,11.247,0
-1.035,2.482,10.673,1
-0.997,2.501,9.658,0
-0.843,2.463,8.987,0
-0.805,2.444,8.24,0
-0.69,2.386,7.704,1
-0.671,2.214,6.88,0
-0.652,2.137,6.516,0
-0.614,1.965,6.325,0
-0.69,1.908,6.478,1
-0.901,1.716,7.206,1
-1.016,1.544,8.106,1
-1.073,1.352,9.313,1
-1.112,1.046,10.041,0
-1.226,0.854,10.405,1
-1.495,0.548,11.056,0
-1.667,0.433,11.477,0
-1.801,0.241,11.899,0
-1.878,0.107,12.014,0
-1.859,0.011,12.109,0
-1.916,-0.008,11.975,0
-1.763,0.107,11.65,0
-1.609,0.184,11.343,1
-1.495,0.414,10.673,1
-1.361,0.586,9.715,0
-1.303,0.663,9.179,0
-1.284,0.797,8.413,0
-1.207,0.969,8.087,0
-1.169,1.237,7.685,0
-1.188,1.505,7.57,0
-1.131,1.773,7.532,0
-1.073,1.908,7.551,0
-1.073,2.003,7.704,0
-1.169,2.042,7.915,0
-1.303,2.023,8.298,1
-1.667,1.773,8.7,0
-1.246,1.965,8.911,0
-1.035,1.984,9.294,0
-0.652,1.773,9.696,0
-0.69,1.544,10.041,0
-0.748,1.429,10.002,0
-0.805,1.141,9.926,0
-0.863,1.007,9.696,0
-0.882,0.854,9.6,0
-1.073,0.873,9.715,0
-1.092,0.95,9.945,0
-1.016,0.912,10.194,0
-0.939,0.988,10.615,0
-0.709,0.95,10.96,0
-0.709,0.969,11.075,0
-0.633,0.835,10.979,0
-0.633,0.758,10.864,0
-0.786,0.854,10.73,0
-0.958,1.007,10.52,0
-1.054,1.103,10.251,0
-0.997,1.18,9.983,0
-0.939,1.199,9.581,0
-0.901,1.314,9.121,0
-0.977,1.371,8.949,0
-1.035,1.448,8.949,0
-1.112,1.467,8.949,0
-1.15,1.467,9.045,0
-1.207,1.39,8.949,0
-1.131,1.218,8.891,0
-1.188,1.122,8.872,0
-1.15,0.95,8.891,0
-1.226,0.797,8.872,0
-1.399,0.72,8.7,0
-1.456,0.548,8.681,0
-1.59,0.471,8.815,0
-1.629,0.414,9.236,0
-1.59,0.337,9.351,0
-1.571,0.28,9.562,0
-1.629,0.241,9.581,0
-1.59,0.184,10.098,0
-1.763,0.126,10.117,0
-1.82,0.241,10.194,0
-1.744,0.28,10.232,0
-1.59,0.222,10.692,0
-1.648,0.318,10.979,0
-1.609,0.548,11.113,0
-1.514,0.663,11.152,0
-1.456,0.663,11.228,0
-1.38,0.739,10.979,0
-1.303,0.797,10.845,0
-1.092,0.739,10.481,0
-1.092,0.797,9.945,0
-1.016,0.95,9.581,0
-0.92,1.084,9.121,0
-0.863,1.084,8.47,0
-0.767,1.027,8.355,0
-0.786,1.065,8.451,0
-0.863,1.046,8.681,0
-0.901,0.969,8.738,0
-0.863,0.701,8.93,0
-0.882,0.567,9.026,0
-0.863,0.356,9.102,0
-0.977,0.241,9.045,0
-1.073,0.184,9.045,0
-1.112,0.145,9.006,0
-1.226,0.069,8.987,0
-1.38,0.069,9.16,0
-1.533,-0.027,9.562,0
-1.571,-0.084,9.964,0
-1.629,-0.199,10.711,0
-1.686,-0.276,11.152,0
-1.82,-0.372,11.247,0
-1.744,-0.41,11.458,0
-1.686,-0.467,11.439,0
-1.667,-0.544,11.267,0
-1.724,-0.506,11.19,0
-1.724,-0.487,10.96,0
-1.648,-0.391,10.941,0
-1.59,-0.238,10.864,0
-1.495,-0.161,10.941,0
-1.456,0.011,10.883,0
-1.399,0.088,10.845,0
-1.188,0.26,10.788,0
-1.169,0.394,10.634,0
-1.15,0.509,10.634,0
-1.207,0.739,10.634,0
